symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
VISHNU,Outside Nifty500,No,-4.36,682.8,713.95,53958.0,85651.0,63.0,20
HINDCOPPER,Smallcap250,No,-4.35,492.1,514.5,3605965.0,5153149.0,70.0,20
MAGADSUGAR,Outside Nifty500,No,-4.35,520.15,543.8,8531.0,24188.0,35.3,20
CENTUM,Outside Nifty500,No,-4.33,4010.6,4192.0,13857.0,27046.0,51.2,20
JAIBALAJI,Outside Nifty500,No,-4.33,62.25,65.07,392917.0,611938.0,64.2,20
RELTD,Outside Nifty500,No,-4.33,148.9,155.64,56970.0,95216.0,59.8,20
CNL,Outside Nifty500,No,-4.32,1068.6,1116.9,7040.0,14661.0,48.0,20
KMSUGAR,Outside Nifty500,No,-4.31,29.1,30.41,146191.0,268006.0,54.5,20
LOKESHMACH,Outside Nifty500,No,-4.31,332.2,347.15,14734.0,35956.0,41.0,12
JSL,Midcap150,No,-4.3,723.55,756.1,291448.0,464494.0,62.7,20
KLBRENG-B,Outside Nifty500,No,-4.3,466.0,486.95,135708.0,229688.0,59.1,20
ALPINETEX,Outside Nifty500,No,-4.29,54.68,57.13,51006.0,116914.0,43.6,20
PAYTM,Midcap150,Yes,-4.29,1730.0,1807.5,1378018.0,1974189.0,69.8,20
VISACHROME,Outside Nifty500,No,-4.28,33.53,35.03,8258.0,234726.0,3.5,20
DHAMPURSUG,Outside Nifty500,No,-4.27,156.61,163.59,260162.0,482374.0,53.9,20
PERMAGN,Outside Nifty500,No,-4.27,827.7,864.65,2002.0,3805.0,52.6,20
RATNAMANI,Outside Nifty500,No,-4.27,2691.4,2811.4,26947.0,45329.0,59.4,20
ZSARACOM,Outside Nifty500,No,-4.26,10337.0,10797.0,36.0,53.0,67.9,20
BIL,Outside Nifty500,No,-4.24,1027.55,1073.0,7053.0,15262.0,46.2,20
CPPLUS,Smallcap250,No,-4.24,3663.4,3825.5,93183.0,133439.0,69.8,20
JUBLINGREA,Smallcap250,No,-4.24,630.5,658.4,76642.0,162723.0,47.1,20
PARADEEP,Smallcap250,No,-4.24,149.34,155.96,991045.0,1688728.0,58.7,20
REPRO,Outside Nifty500,No,-4.23,296.4,309.5,6200.0,15889.0,39.0,20
MALLCOM,Outside Nifty500,No,-4.22,911.95,952.15,2620.0,4063.0,64.5,20
KAPSTON,Outside Nifty500,No,-4.21,563.45,588.2,26290.0,39777.0,66.1,20
SIGNPOST,Outside Nifty500,No,-4.2,264.65,276.25,28087.0,59659.0,47.1,20
WAKEFIT,Outside Nifty500,No,-4.2,148.61,155.13,214137.0,451786.0,47.4,20
NAHARSPING,Outside Nifty500,No,-4.19,261.65,273.1,10936.0,25539.0,42.8,20
INDOMIM,Outside Nifty500,No,-4.18,975.65,1018.2,557595.0,819543.0,68.0,20
MAWANASUG,Outside Nifty500,No,-4.18,129.0,134.63,88467.0,237785.0,37.2,20
ODYCORP,Outside Nifty500,No,-4.18,6.88,7.18,14855.0,60799.0,24.4,20
VIYASH,Outside Nifty500,No,-4.15,246.9,257.6,1808770.0,4673052.0,38.7,20
MANAKSIA,Outside Nifty500,No,-4.14,68.01,70.95,39064.0,65222.0,59.9,20
TREJHARA,Outside Nifty500,No,-4.14,137.1,143.02,5086.0,12129.0,41.9,20
BRIGADE,Smallcap250,No,-4.13,612.25,638.65,73723.0,264734.0,27.8,20
VIDHIING,Outside Nifty500,No,-4.13,320.65,334.45,13673.0,30518.0,44.8,20
KOHINOOR,Outside Nifty500,No,-4.12,29.58,30.85,35136.0,150965.0,23.3,20
CGCL,Smallcap250,No,-4.1,255.1,266.0,1151681.0,2224142.0,51.8,20
COFFEEDAY,Outside Nifty500,No,-4.1,30.37,31.67,442405.0,752756.0,58.8,6
ORIRAIL,Outside Nifty500,No,-4.09,119.03,124.11,53679.0,116199.0,46.2,20
JSWENERGY,Midcap150,Yes,-4.07,505.0,526.45,434555.0,1084976.0,40.1,20
SKYWAYS,Outside Nifty500,No,-4.07,111.29,116.01,579763.0,2984780.0,19.4,11
ONEGLOBAL,Outside Nifty500,No,-4.06,518.5,540.45,10276.0,15039.0,68.3,20
SILINV,Outside Nifty500,No,-4.06,444.95,463.8,980.0,2174.0,45.1,20
ZAGGLE,Outside Nifty500,No,-4.06,179.41,187.0,500552.0,886146.0,56.5,20
ARVINDFASN,Outside Nifty500,No,-4.03,428.5,446.5,83252.0,132810.0,62.7,20
PDSL,Outside Nifty500,No,-4.01,334.25,348.2,39228.0,79522.0,49.3,20
IGPL,Outside Nifty500,No,-3.99,525.25,547.05,37609.0,60482.0,62.2,20
SARVESHWAR,Outside Nifty500,No,-3.99,3.85,4.01,1292186.0,2032017.0,63.6,20
SHANTIGOLD,Outside Nifty500,No,-3.98,247.89,258.17,401827.0,899274.0,44.7,20
OAL,Outside Nifty500,No,-3.97,510.95,532.1,24874.0,47287.0,52.6,20
BROOKS,Outside Nifty500,No,-3.96,63.09,65.69,18608.0,31449.0,59.2,6
SAREGAMA,Smallcap250,No,-3.96,485.5,505.5,87202.0,198902.0,43.8,20
GMRP&UI,Outside Nifty500,No,-3.95,90.35,94.07,403675.0,847918.0,47.6,20
INDOFARM,Outside Nifty500,No,-3.95,136.07,141.66,34121.0,62744.0,54.4,20
PWL,Smallcap250,No,-3.95,130.72,136.1,2627385.0,4631578.0,56.7,20
RML,Outside Nifty500,No,-3.93,1306.5,1360.0,17400.0,40572.0,42.9,20
HGM,Outside Nifty500,No,-3.92,46.77,48.68,5317.0,8600.0,61.8,20
