symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
HINDOILEXP,Outside Nifty500,No,-5.13,175.72,185.22,392975.0,521290.0,75.4,20
KWIL,Outside Nifty500,No,-5.13,40.83,43.04,5346892.0,9135205.0,58.5,20
LAMBODHARA,Outside Nifty500,No,-5.12,130.33,137.37,8159.0,33318.0,24.5,20
SHILPAMED,Outside Nifty500,No,-5.12,911.9,961.15,323705.0,501332.0,64.6,20
VOGL,Outside Nifty500,No,-5.12,34.83,36.71,12702478.0,14872947.0,85.4,20
GMRAIRPORT,Midcap150,Yes,-5.11,92.97,97.98,5988651.0,8140079.0,73.6,20
CROWN,Outside Nifty500,No,-5.08,106.83,112.55,5975.0,12614.0,47.4,20
NSLNISP,Smallcap250,No,-5.06,41.45,43.66,2027705.0,3436551.0,59.0,20
KDGREEN,Outside Nifty500,No,-5.05,46.61,49.09,23911.0,25399.0,94.1,9
UDS,Outside Nifty500,No,-5.04,197.04,207.5,46247.0,245508.0,18.8,20
CLSEL,Outside Nifty500,No,-5.03,281.6,296.5,39040.0,71672.0,54.5,20
DYCL,Outside Nifty500,No,-5.02,432.6,455.45,213648.0,329764.0,64.8,20
GOKUL,Outside Nifty500,No,-5.02,39.92,42.03,57528.0,76285.0,75.4,20
PITTIENG,Outside Nifty500,No,-5.02,1109.3,1167.9,48481.0,87122.0,55.6,20
JOCIL,Outside Nifty500,No,-5.0,142.39,149.89,5173.0,16004.0,32.3,6
MILKYMIST,Outside Nifty500,No,-5.0,278.14,292.77,3768145.0,4868734.0,77.4,20
PVP,Outside Nifty500,No,-5.0,61.58,64.82,470295.0,1485885.0,31.7,20
RHETAN,Outside Nifty500,No,-5.0,22.81,24.01,246243.0,5050212.0,4.9,20
S&SPOWER,Outside Nifty500,No,-5.0,332.85,350.35,2385.0,3596.0,66.3,20
SALSTEEL,Outside Nifty500,No,-5.0,71.07,74.81,201240.0,220062.0,91.4,20
SETL,Outside Nifty500,No,-5.0,444.75,468.15,193107.0,831270.0,23.2,20
SMLMAH,Outside Nifty500,No,-5.0,6254.0,6583.0,23907.0,40731.0,58.7,20
SUDEEPPHRM,Outside Nifty500,No,-5.0,1142.7,1202.8,67383.0,130857.0,51.5,20
LALITHAA,Outside Nifty500,No,-4.99,321.7,338.6,946810.0,6881144.0,13.8,17
ONIXSOLAR,Outside Nifty500,No,-4.99,416.75,438.65,201807.0,248063.0,81.4,20
RUBYMILLS,Outside Nifty500,No,-4.99,432.4,455.1,5923.0,20677.0,28.6,6
SHANTIGEAR,Outside Nifty500,No,-4.99,679.25,714.95,42952.0,151155.0,28.4,20
SHREYANIND,Outside Nifty500,No,-4.99,126.17,132.8,3494.0,5442.0,64.2,20
