symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
DLF,NiftyNext50,Yes,-3.67,620.85,644.5,1997572.0,1876411.0,106.5,20
TARIL,Smallcap250,No,-3.66,277.95,288.5,633375.0,556123.0,113.9,20
THACKER,Outside Nifty500,No,-3.66,1000.0,1038.0,35.0,21.0,166.7,5
BIRLANU,Outside Nifty500,No,-3.65,1395.5,1448.4,5060.0,4675.0,108.2,20
CRIZAC,Outside Nifty500,No,-3.64,179.89,186.68,165955.0,162235.0,102.3,20
JAYBARMARU,Outside Nifty500,No,-3.64,112.34,116.58,189830.0,145839.0,130.2,20
ZUARI,Outside Nifty500,No,-3.64,212.4,220.42,64586.0,53720.0,120.2,20
FMNL,Outside Nifty500,No,-3.61,9.09,9.43,41614.0,35824.0,116.2,17
PNGSREVA,Outside Nifty500,No,-3.61,494.2,512.7,121060.0,78919.0,153.4,20
BCLIND,Outside Nifty500,No,-3.6,32.95,34.18,366439.0,344817.0,106.3,20
CDSL,Smallcap250,Yes,-3.6,1311.0,1360.0,586473.0,539603.0,108.7,20
360ONE,Midcap150,Yes,-3.57,1052.1,1091.0,475769.0,397715.0,119.6,20
SPANDANA,Outside Nifty500,No,-3.57,226.96,235.37,101328.0,50337.0,201.3,20
PARKHOTELS,Outside Nifty500,No,-3.56,106.83,110.77,93141.0,91550.0,101.7,20
FIEMIND,Outside Nifty500,No,-3.55,1938.1,2009.5,37180.0,34373.0,108.2,20
VLSFINANCE,Outside Nifty500,No,-3.55,235.33,244.0,7352.0,5886.0,124.9,20
SPCENET,Outside Nifty500,No,-3.54,3.27,3.39,713308.0,704640.0,101.2,20
ASTAR,Outside Nifty500,No,-3.52,562.5,583.0,164.0,51.0,321.6,17
JWL,Smallcap250,No,-3.51,231.17,239.58,338350.0,206190.0,164.1,20
SARLAPOLY,Outside Nifty500,No,-3.51,96.7,100.22,71754.0,40890.0,175.5,20
AMJLAND,Outside Nifty500,No,-3.5,37.21,38.56,17414.0,6653.0,261.7,20
TVSELECT,Outside Nifty500,No,-3.49,399.4,413.85,13913.0,10498.0,132.5,20
ALPHA,Outside Nifty500,No,-3.48,52.18,54.06,1156432.0,550378.0,210.1,20
PODDARMENT,Outside Nifty500,No,-3.48,270.1,279.85,17261.0,9479.0,182.1,20
MOMENTUM50,Outside Nifty500,No,-3.47,52.63,54.52,712224.0,411790.0,173.0,20
MFSL,Midcap150,Yes,-3.46,1425.9,1477.0,384051.0,266101.0,144.3,20
CLEDUCATE,Outside Nifty500,No,-3.45,57.14,59.18,22713.0,13469.0,168.6,6
SIMPLXREA,Outside Nifty500,No,-3.45,132.27,137.0,169.0,107.0,157.9,18
GREENLAM,Outside Nifty500,No,-3.44,226.57,234.63,47421.0,33635.0,141.0,20
SASKEN,Outside Nifty500,No,-3.44,1722.2,1783.6,26060.0,11030.0,236.3,20
