sym,entry,exit,qty,entry_px,exit_px,pnl,ret_pct,R,rate,mfe_pct,mae_pct,mfe_R,mae_R,hold
LLOMET,2026-07-15,2026-07-15,8.0,1837.8905833333333,1863.613677777778,205.78475555555815,1.399598794275958,0.19994268489656591,0.07,1.534880091474422,1.534880091474422,0.219268584496346,0.219268584496346,0
GMRINF,2026-06-24,2026-07-15,80.0,109.09921159999999,111.82832875000001,218.32937200000174,2.5015003408145775,0.3573571915449402,0.07,5.390312463082925,-0.9433721700698339,0.7700446375832749,-0.1347674528671191,21
IOLCHE,2026-07-09,2026-07-15,75.0,171.194016,164.51987499999998,-500.5605750000015,-3.8985831140266103,-0.5569404448609447,0.07,1.5105574718219161,-3.2092336685413225,0.21579392454598798,-0.45846195264876033,6
IOLCHE,2026-07-13,2026-07-15,25.0,170.3755,164.51987499999998,-146.39062500000009,-3.436893802219221,-0.4909848288884597,0.07,1.9982333140621922,-2.7442325921273936,0.28546190200888455,-0.3920332274467705,2
ATHENE,2026-06-03,2026-07-16,5.0,1000.059975,1279.910345,1399.25185,27.983358698062077,3.997622671151726,0.07,29.632225307287197,-3.945760852992841,4.2331750438981715,-0.5636801218561202,43
ATHENE,2026-06-05,2026-07-16,15.0,1017.4441866666667,1279.910345,3936.9923749999994,25.79661486820426,3.685230695457751,0.07,27.41730868277341,-5.586958715927082,3.9167583832533435,-0.7981369594181545,41
GRANUL,2026-06-19,2026-07-16,25.0,793.294296,897.5730920000001,2606.9699000000014,13.145032874407558,1.8778618392010804,0.07,13.860644725976945,-3.667528702361922,1.980092103710992,-0.5239326717659888,27
BHEL,2026-07-09,2026-07-16,50.0,386.326222,418.078344,1587.6061000000022,8.218992186349716,1.1741417409071015,0.07,12.702678515050426,-1.2233759270940614,1.8146683592929176,-0.1747679895848659,7
AVASOF,2026-07-06,2026-07-16,50.0,186.765308,171.33005799999998,-771.7625000000012,-8.26451666280551,-1.1806452375436436,0.07,-1.6091361035851515,-7.359668745332504,-0.2298765862264502,-1.0513812493332149,10
AVASOF,2026-07-13,2026-07-16,50.0,195.669202,171.33005799999998,-1216.9572000000016,-12.438924343341483,-1.7769891919059269,0.07,-6.08639575276646,-11.575251377577555,-0.8694851075380657,-1.6536073396539364,3
RAYREA,2026-06-24,2026-07-17,10.0,653.06186,679.58092,265.1905999999997,4.060727110904927,0.5801038729864179,0.07,10.670986053296684,-5.185092266757085,1.5244265790423832,-0.7407274666795834,23
RAYREA,2026-07-03,2026-07-17,10.0,654.8660500000001,679.58092,247.14869999999905,3.774034399859305,0.5391477714084735,0.07,10.366081735341126,1.6467413450429902,1.4808688193344464,0.23524876357756996,14
BLIGVS,2026-06-24,2026-07-17,40.0,466.938525,497.0720461111111,1205.3408444444426,6.45342363025434,0.9219176614649055,0.07,15.561250809193773,-1.4645450383431124,2.2230358298848243,-0.20922071976330175,23
BLIGVS,2026-06-25,2026-07-17,30.0,469.1928433333333,497.0720461111111,836.3760833333333,5.94194970658819,0.8488499580840267,0.07,15.006016751335371,3.049312637640189,2.1437166787621957,0.4356160910914555,22
BLIGVS,2026-07-06,2026-07-17,40.0,501.6223675,497.0720461111111,-182.01285555555614,-0.9071209108092448,-0.129588701544178,0.07,4.520857515389798,-3.6127510801240326,0.6458367879128283,-0.516107297160576,11
BLIGVS,2026-07-08,2026-07-17,30.0,516.6610233333333,497.0720461111111,-587.6693166666672,-3.791456358724399,-0.5416366226749147,0.07,1.4785277622419324,-6.418332685401529,0.21121825174884745,-0.9169046693430755,9
BLIGVS,2026-07-09,2026-07-17,40.0,525.04661,497.0720461111111,-1118.9825555555558,-5.328015333512748,-0.7611450476446787,0.07,-0.14219880402618346,-7.912937481874227,-0.020314114860883352,-1.1304196402677467,8
GLAPH,2026-06-12,2026-07-17,6.0,2320.34854,2478.27295,947.5464600000005,6.806064144139312,0.9722948777341878,0.07,9.897282931468565,-6.104623402827237,1.4138975616383662,-0.872089057546748,35
GLAPH,2026-06-12,2026-07-17,4.0,2320.34854,2478.2737875000003,631.7009900000012,6.806100237854795,0.9723000339792566,0.07,9.897282931468565,-6.104623402827237,1.4138975616383662,-0.872089057546748,35
