sym,fund,entry,exit,conv,qty,entry_px,exit_px,cost,pnl,ret_pct,R,mfe_pct,mae_pct,hold,mtf_days,state,rd,fin,pnl_net,R_net
BAASTY,MTF,2026-05-04,2026-05-12,,50.0,423.75160600000004,393.96448799999996,21187.5803,-1489.3559000000039,-7.029381736431716,-1.0041973909188162,-1.605092677808062,-7.693565177898121,8,8,closed,169500.6424,55.566445363099646,-1544.9223453631034,-1.041663035937752
GLEPHA,MTF,2026-04-28,2026-05-12,,4.0,2423.269175,2261.98065,9693.0767,-645.1540999999997,-6.655823738607158,-0.9508319626581659,-0.2215674203836615,-6.857231409300624,14,14,closed,135703.07379999998,44.48677792098077,-689.6408779209805,-1.0163968414413034
ADAPOR,MTF,2026-04-29,2026-05-12,,10.0,1672.49297,1694.93917,16724.9297,224.4620000000009,1.342080379566557,0.19172576850950904,5.668605590611242,-0.9084026224636443,13,13,closed,217424.08610000001,71.27691924840471,153.1850807515962,0.13084409535373856
RBLBAN,MTF,2026-04-29,2026-05-12,,70.0,342.433234,326.81732,23970.326380000002,-1093.1139800000024,-4.560279917223231,-0.6514685596033186,0.9685876459058829,-5.017980818999601,13,13,closed,311614.24294,102.15475032730122,-1195.2687303273035,-0.7123502327590892
RBLBAN,MTF,2026-05-08,2026-05-12,,30.0,347.89934,326.81732,10436.9802,-632.4606,-6.059804540014357,-0.8656863628591944,-1.2789159071126766,-6.5103141615617925,4,4,closed,41747.9208,13.685986833500113,-646.1465868335001,-0.8844191853686623
NATPHA,MTF,2026-05-07,2026-05-12,,20.0,1161.51275,1183.490405,23230.255,439.55309999999827,1.892157877733136,0.2703082682475924,3.8301129281619994,-0.5434938187290683,5,5,closed,116151.27500000001,38.07722132940931,401.47587867058894,0.2468922401107576
BLIGVS,CNC,2026-05-11,2026-05-12,,50.0,276.841574,272.99033,13842.078699999998,-192.56220000000042,-1.3911364338652477,-0.1987337762664633,-1.0986695228080046,-1.694678271118344,1,0,closed,0.0,0.0,-192.56220000000042,-0.1987337762664633
ARVFAS,CNC,2026-05-13,2026-05-13,,40.0,431.66468249999997,428.992145,17266.5873,-106.90149999999903,-0.6191235021873687,-0.08844621459819521,-0.48989008962991853,-0.48989008962991853,0,0,closed,0.0,0.0,-106.90149999999903,-0.08844621459819521
TOUFIN,CNC,2026-05-06,2026-05-13,,150.0,77.433282,75.05368266666667,11614.992300000002,-356.93989999999974,-3.0730963119105947,-0.4390137588443708,8.080140526653622,-3.852712842521644,7,0,closed,0.0,0.0,-356.93989999999974,-0.4390137588443708
TOUFIN,CNC,2026-05-06,2026-05-13,,150.0,81.64898333333333,75.05368266666667,12247.3475,-989.2950999999989,-8.077627420957878,-1.1539467744225536,2.4997453530243963,-8.816990781065037,7,0,closed,0.0,0.0,-989.2950999999989,-1.1539467744225536
